threshold,precision,recall,f1
0.54,0.9400712666018789,0.906875,0.9231748051534914
0.545,0.9403565640194489,0.9065625,0.9231503579952267
0.55,0.9406037000973709,0.905625,0.9227829963381627
0.555,0.9418075422626788,0.9053125,0.9231994901210963
0.56,0.9423828125,0.9046875,0.9231505102040817
0.565,0.9432670361917183,0.9040625,0.9232487633636509
0.57,0.9440993788819876,0.9025,0.9228311231826171
0.575,0.9449180327868852,0.900625,0.92224
0.58,0.9458483754512635,0.900625,0.9226828877861374
0.585,0.9463992107859257,0.899375,0.9222880948565935
0.59,0.9472990777338604,0.89875,0.9223861449647209
0.595,0.9484638255698712,0.8971875,0.9221133772281997
0.6,0.9490572279192855,0.8965625,0.9220633135143821
0.605,0.9499336870026526,0.8953125,0.9218146718146718
0.61,0.9511465603190429,0.894375,0.9218875825414721
0.615,0.9513981358189081,0.893125,0.9213410702772404
0.62,0.9523015343562375,0.8921875,0.9212649241690868
0.625,0.9528743315508021,0.8909375,0.9208656330749354
0.63,0.9531302310010044,0.8896875,0.9203167932762243
0.635,0.9537223340040242,0.88875,0.9200905855710126
0.64,0.9546827794561934,0.88875,0.9205373037708368
0.645,0.9548365352207617,0.8853125,0.9187611480460516
0.65,0.9551130610867364,0.884375,0.9183839039428849
0.655,0.9557133198106829,0.8834375,0.9181552452094836
0.66,0.956668923493568,0.883125,0.9184270393240169
0.665,0.9579375848032564,0.8825,0.9186727391021471
0.67,0.957909029192125,0.881875,0.9183208590953466
0.675,0.9578804347826086,0.88125,0.91796875
0.68,0.9580919931856899,0.87875,0.9167074164629176
0.685,0.9589603283173734,0.87625,0.9157413455258001
0.69,0.9592186429061,0.8746875,0.9150049035632559
0.695,0.9591766723842196,0.87375,0.9144726083401472
0.7,0.9594501718213059,0.8725,0.913911620294599
0.705,0.9597661623108665,0.8721875,0.9138834315651605
0.71,0.9597246127366609,0.87125,0.9133497133497134
0.715,0.9599447513812155,0.86875,0.9120734908136483
0.72,0.9602351313969572,0.8678125,0.9116874589625739
